,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,S5_7,S5_8,
ASV_1,0,4.12E-05,8.23E-05,4.12E-05,6.18E-05,2.06E-05,4.12E-05,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter
ASV_2,0,0,4.12E-05,0,0,0.000123515,4.12E-05,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter
ASV_3,0.017765609,0.012063322,0.009448916,0.046688762,0.028614365,0.020997591,0.006505136,0.009119542,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
ASV_5,0.005496428,0.066451201,0.015954052,0.056672911,0.029561315,0.004425963,0.007678531,0.005064125,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
ASV_4,0,0,0,6.18E-05,0,0,4.12E-05,0,k__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum
ASV_6,2.06E-05,2.06E-05,2.06E-05,0,4.12E-05,6.18E-05,4.12E-05,0.000102929,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter
ASV_1254,0.000494061,0.000967536,0.000514647,0.001070465,0.001173395,0.004570064,0.001173395,0.002634992,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Roseisolibacter
ASV_7,2.06E-05,0,2.06E-05,2.06E-05,0,2.06E-05,0,2.06E-05,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinobacterium
ASV_23,0.001255738,0.00164687,0.001193981,0.001173395,0.000226445,0.000638162,0.005949318,0.000205859,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales
ASV_10,0,6.18E-05,0.000391132,0.000226445,6.18E-05,0.000226445,8.23E-05,0.00034996,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfatiglans
ASV_53,0.00424069,0.008501966,0.007349157,0.005352327,0.005064125,0.023159108,0.008501966,0.029602487,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Deltaproteobacteria_incertae_sedis;g__Dissulfurirhabdus
ASV_8,0.00034996,0,0.000164687,6.18E-05,0.000967536,0,0,2.06E-05,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium
ASV_13,0.000123515,0.000226445,0.00094695,0.000432303,0.000411717,0.003396669,0.000782263,0.00024703,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_incertae_sedis;g__Thiobacter
ASV_1247,4.12E-05,8.23E-05,0.000102929,0.000164687,8.23E-05,0.00199683,0.000370546,0.00164687,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Magnetospirillum
ASV_60,0,0,0,0,0,2.06E-05,2.06E-05,0,k__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum
ASV_3886,4.12E-05,2.06E-05,6.18E-05,4.12E-05,6.18E-05,0.001502769,0.00034996,0.001276324,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Roseisolibacter
ASV_14,0,0,0,0,0,2.06E-05,2.06E-05,0,k__Bacteria;p__Actinobacteria;c__Nitriliruptoria
ASV_29,0.0976388,0.012619141,0.001935072,0.014307182,0.075797188,0.000432303,0.001935072,8.23E-05,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
ASV_16,0,0,0,2.06E-05,2.06E-05,2.06E-05,0,6.18E-05,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp12;g__Gp12
ASV_15,0.000205859,4.12E-05,0.000205859,0.000226445,0.000288202,0.001399839,0.000514647,0.000967536,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Dongia
ASV_19,0,0,2.06E-05,4.12E-05,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassobaculaceae;g__Oceanibaculum
ASV_17,0,0,2.06E-05,2.06E-05,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
ASV_27,0.006340449,0.005311155,0.034234308,0.032875641,0.021615168,0.002737921,0.005702287,0.002820265,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales
ASV_21,0,0,0,4.12E-05,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter
ASV_18,0,0,0,0,0,0,6.18E-05,0,k__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum
ASV_28,0,0,0,2.06E-05,0,2.06E-05,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinobacterium
ASV_33,2.06E-05,4.12E-05,0.000329374,0,0,0.000308788,0.000288202,0.000185273,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__Sulfuricaulis
ASV_24,2.06E-05,4.12E-05,8.23E-05,0.000102929,0,0.000164687,0.000123515,4.12E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Limibacillus
ASV_32,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinobacterium
ASV_35,0.000432303,0.004178932,0.001111637,0.00129691,0.001173395,0.005414085,0.00459065,0.004693579,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp3;g__Gp3
ASV_30,0.002532062,0.001111637,0.001790971,0.001029294,0.002058587,0.006299277,0.005681701,0.006463964,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Lacibacterium
ASV_37,0,0,0,2.06E-05,0,0,4.12E-05,4.12E-05,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae;g__Alcanivorax
ASV_39,0,0,0,2.06E-05,0,0,2.06E-05,0,k__Bacteria;p__Actinobacteria
ASV_34,0.000452889,0.00199683,0.000370546,0.000720506,0.000679334,0.005043539,0.001811557,0.001317496,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas
ASV_26,0,0,0,0,0,0,2.06E-05,0,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp21;g__Gp21
ASV_31,2.06E-05,0,0,0,0,0,2.06E-05,2.06E-05,k__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum
ASV_51,0.001564526,0.00069992,0.002120345,0.000638162,0.001111637,0.002861436,0.001605698,0.002429133,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter
ASV_52,0,0,0,2.06E-05,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Thioprofundaceae;g__Thioprofundum
ASV_46,0,0,2.06E-05,0.000164687,0,2.06E-05,0,0,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophaceae;g__Desulfomonile
ASV_50,2.06E-05,2.06E-05,6.18E-05,4.12E-05,2.06E-05,0.000205859,0.000102929,0.000514647,k__Bacteria;p__Actinobacteria;c__Actinobacteria
ASV_38,2.06E-05,0,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia
ASV_36,0.000514647,0.009140128,0.001749799,0.001317496,0.001235152,0.025999959,0.010601725,0.008254935,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp2;g__Gp2
ASV_48,0.000576404,0.000761677,0.001461597,0.000741091,0.000514647,0.004281862,0.005022953,0.000514647,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Pelobacter
ASV_42,0.000288202,0.00024703,0.000782263,0.001132223,0.000164687,0.001502769,0.000926364,0.000288202,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae
ASV_41,0,2.06E-05,0,0,0,0,0,0,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gillisia
ASV_47,0.000844021,0.001152809,0.001173395,0.001379254,0.000555819,0.001502769,0.000452889,0.000679334,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas
ASV_45,2.06E-05,2.06E-05,2.06E-05,2.06E-05,2.06E-05,4.12E-05,4.12E-05,4.12E-05,k__Bacteria;p__Actinobacteria
ASV_49,4.12E-05,0.000782263,0.001502769,0.001235152,2.06E-05,0.002140931,0.001399839,0.000226445,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Rhodovibrio
ASV_59,0.000308788,0.000535233,0.000164687,0.000144101,0.000555819,0.002552648,0.001461597,0.00259382,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_incertae_sedis;g__Thiobacter
ASV_44,0.000967536,0.002532062,0.000926364,0.000782263,0.001029294,0.001852729,0.001441011,0.000679334,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae
ASV_84,0.000288202,0.002758507,0.000576404,0.000638162,6.18E-05,0.002882022,0.003417255,0.002408547,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae
ASV_64,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales
ASV_43,0.001214567,0.000617576,0.005475842,0.004796509,0.00059699,0.001935072,0.000329374,6.18E-05,k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira
ASV_40,0.000555819,0.001070465,0.002696749,0.001461597,0.000288202,0.000802849,0.002161517,0.00034996,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Tistlia
ASV_58,0,2.06E-05,6.18E-05,0.000123515,2.06E-05,2.06E-05,0,2.06E-05,k__Bacteria;p__Actinobacteria;c__Actinobacteria
ASV_62,0.000267616,0,2.06E-05,0.000370546,8.23E-05,0,4.12E-05,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
ASV_63,6.18E-05,4.12E-05,8.23E-05,2.06E-05,4.12E-05,0.000102929,4.12E-05,4.12E-05,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales
ASV_57,0.00094695,0.001729213,0.000967536,0.000967536,0.000761677,0.001729213,0.002079173,0.001461597,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Actinomarinicola
ASV_70,0.00059699,0.005928732,0.001091051,0.002923194,0.00329374,0.001441011,0.004817095,0.002429133,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
ASV_73,0.001029294,0.003808387,0.001749799,0.001626284,0.001132223,0.005990489,0.00529057,0.003808387,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
ASV_147,0,0,0,0,0,4.12E-05,2.06E-05,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Litoribrevibacter
ASV_68,0.00059699,0.000576404,0.000782263,0.000144101,0.000473475,0.002923194,0.00788439,0.000823435,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia
ASV_75,0,2.06E-05,0,0,0,0,0,2.06E-05,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__Woeseia
ASV_54,0.00234679,0.007822632,0.002367376,0.001667456,0.002387961,0.010087078,0.009634189,0.004281862,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Elstera
ASV_56,0,8.23E-05,0,0,2.06E-05,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Oceanospirillaceae;g__Marinospirillum
ASV_61,0,2.06E-05,8.23E-05,0.000164687,6.18E-05,0.001832143,0,0.00034996,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa
ASV_86,0,2.06E-05,0.000288202,0,0,0.000658748,0.000844021,0.001338082,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Thiobacillaceae;g__Thiobacillus
ASV_69,2.06E-05,0.00104988,0.000452889,0.00024703,0,0.000452889,0.001276324,2.06E-05,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae
ASV_67,0,0,0,0,0,0,2.06E-05,2.06E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
ASV_71,2.06E-05,0,0,0,0,0,2.06E-05,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__Woeseia
ASV_72,0.001070465,0.005414085,0.004878852,0.003808387,0.00329374,0.013627849,0.009963563,0.006999197,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter
ASV_78,6.18E-05,6.18E-05,0.000288202,2.06E-05,4.12E-05,0.002038002,0.00069992,0.004920024,k__Bacteria
ASV_74,2.06E-05,0,0,0,2.06E-05,0,0,0.000102929,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas
ASV_3963,0,0,0,0,0,0,0,2.06E-05,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio
ASV_87,0.000144101,0.001255738,0.001955658,0.002161517,0.000411717,4.12E-05,0.006093419,0.000144101,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
ASV_92,8.23E-05,0.000617576,0.000988122,0.000452889,0.000102929,0.003067295,0.003767215,0.00164687,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__Desulfuromonas
ASV_80,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter
ASV_65,0,0,0,0,0,0,2.06E-05,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Kordiimonadales;f__Kordiimonadaceae;g__Kordiimonas
ASV_122,0.000370546,0.001235152,0.002285032,0.00024703,0.000185273,0.004611236,0.004755337,0.005496428,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfatiglans
ASV_76,0.000905778,0.003211396,0.000823435,0.00129691,0.001770385,0.006546308,0.009654775,0.006505136,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Azospirillaceae;g__Skermanella
ASV_88,0,0,0,0,0,0,2.06E-05,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Woeseiaceae;g__Woeseia
ASV_4142,0.000205859,0,0,0,4.12E-05,0.000164687,0,0.000144101,k__Bacteria;p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Parasegetibacter
ASV_77,0,0,2.06E-05,4.12E-05,0,2.06E-05,4.12E-05,2.06E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Pelagibius
ASV_82,0,0,4.12E-05,0,0,0,2.06E-05,4.12E-05,k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales;f__Euzebyaceae;g__Euzebya
ASV_91,0,2.06E-05,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales
ASV_66,0,2.06E-05,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Iodidimonadales;f__Iodidimonadaceae;g__Iodidimonas
ASV_104,0,0,0,4.12E-05,0,2.06E-05,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Basilea
ASV_338,0,0,6.18E-05,0,0,2.06E-05,6.18E-05,6.18E-05,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales
ASV_103,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter
ASV_106,0.002387961,0.002964366,0.005599358,0.010107664,0.003705457,0.001029294,0.000226445,0.000267616,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales
ASV_95,0.000102929,2.06E-05,0.000102929,2.06E-05,0.000102929,0.000905778,8.23E-05,0.000658748,k__Bacteria;p__Acidobacteria;c__Acidobacteria_Gp22;g__Gp22
ASV_90,2.06E-05,6.18E-05,2.06E-05,2.06E-05,6.18E-05,0,0,4.12E-05,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Roseisolibacter
ASV_100,6.18E-05,0,2.06E-05,0,0,8.23E-05,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces
ASV_89,0,0,0,0,0,2.06E-05,2.06E-05,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodovibrionaceae;g__Limibacillus
ASV_97,0,0.000164687,0.000185273,0.000185273,2.06E-05,0.000267616,0.000411717,0,k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Fulvivirgaceae;g__Chryseolinea
ASV_114,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Colwelliaceae;g__Thalassotalea
ASV_279,0,0,0,0,0,0,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter
ASV_116,0.004899438,0.005805216,0.001441011,0.000432303,0.005578772,0.006813924,0.002285032,0.002552648,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiales_incertae_sedis;g__Thiobacter
ASV_85,0,0,0,0,0,0,2.06E-05,2.06E-05,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Methyloligella
ASV_109,0,0,0,0,2.06E-05,0,2.06E-05,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae
ASV_4219,0,0,4.12E-05,0,0,0,4.12E-05,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria
ASV_2651,0.000391132,0.000370546,0.000411717,0.000391132,0.000391132,0.001811557,0.001235152,0.000638162,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter
