	SOC	Salt	pH	TN	TP	AP	NO3	NH4	SWC
S1.1	4.368 	7.671 	8.420 	0.530 	0.486 	19.898 	57.709 	29.514 	0.246 
S1.2	2.600 	7.091 	8.540 	0.580 	0.403 	11.035 	55.563 	27.614 	0.244 
S1.3	3.783 	7.531 	8.440 	0.530 	0.494 	22.476 	54.234 	39.321 	0.286 
S1.4	4.069 	8.031 	8.450 	0.660 	0.487 	22.145 	58.404 	24.114 	0.265 
S1.5	2.743 	7.511 	8.500 	0.570 	0.464 	20.704 	58.455 	30.838 	0.288 
S1.6	2.691 	8.051 	8.510 	0.570 	0.508 	14.735 	54.532 	30.501 	0.240 
S2.1	3.445 	12.071 	8.380 	0.560 	0.573 	21.017 	53.512 	3.689 	0.059 
S2.2	4.680 	11.891 	8.270 	0.580 	0.451 	14.258 	58.779 	2.401 	0.064 
S2.3	4.849 	10.231 	8.440 	0.650 	0.570 	21.509 	61.887 	3.960 	0.057 
S2.4	4.082 	10.991 	8.350 	0.630 	0.464 	15.386 	56.110 	1.802 	0.049 
S2.5	3.874 	9.571 	8.480 	0.690 	0.646 	22.145 	55.617 	3.007 	0.042 
S2.6	3.744 	10.531 	8.460 	0.710 	0.572 	14.097 	59.002 	3.088 	0.302 
S2.7	3.952 	11.491 	8.370 	0.730 	0.624 	20.865 	63.160 	2.923 	0.328 
S2.8	3.484 	11.291 	8.360 	0.460 	0.520 	12.319 	59.307 	4.367 	0.345 
S3.1	7.722 	5.371 	7.960 	0.940 	0.467 	10.870 	55.370 	17.608 	0.306 
S3.2	11.258 	6.631 	7.950 	0.980 	0.496 	21.187 	59.250 	17.479 	0.341 
S3.3	13.611 	4.771 	8.030 	1.220 	0.467 	12.324 	58.001 	17.573 	0.312 
S3.4	13.351 	5.051 	8.090 	1.180 	0.482 	19.898 	65.656 	19.431 	0.303 
S3.5	14.404 	4.871 	7.940 	1.120 	0.503 	15.380 	64.632 	17.040 	0.361 
S3.6	13.741 	5.871 	8.020 	1.220 	0.484 	20.220 	56.187 	19.834 	0.249 
S3.7	14.677 	5.571 	7.990 	1.130 	0.496 	15.541 	66.017 	19.746 	0.260 
S3.8	10.296 	4.531 	8.130 	1.000 	0.495 	22.637 	94.374 	21.280 	0.281 
S4.1	3.757 	11.471 	7.950 	0.520 	0.539 	12.808 	63.533 	2.438 	0.334 
S4.2	5.018 	11.751 	7.830 	0.610 	0.618 	16.144 	58.543 	3.720 	0.293 
S4.3	4.550 	10.151 	7.890 	0.530 	0.598 	15.064 	62.168 	3.544 	0.282 
S4.4	3.029 	11.831 	7.870 	0.520 	0.486 	21.670 	60.626 	3.305 	0.242 
S4.5	4.290 	12.791 	7.900 	0.610 	0.466 	12.641 	58.396 	2.568 	0.274 
S4.6	3.536 	10.031 	8.010 	0.500 	0.616 	21.670 	55.013 	2.850 	0.285 
S4.7	3.185 	8.671 	8.100 	0.590 	0.520 	14.258 	64.483 	2.102 	0.282 
S4.8	4.095 	9.731 	8.110 	0.630 	0.581 	14.896 	63.848 	2.113 	0.296 
S5.1	9.204 	2.783 	8.200 	0.880 	0.483 	16.030 	63.535 	35.019 	0.287 
S5.2	11.661 	2.681 	8.200 	1.040 	0.499 	19.253 	63.451 	36.339 	0.278 
S5.3	12.012 	2.761 	8.170 	0.930 	0.494 	13.613 	58.697 	27.455 	0.249 
S5.4	10.959 	2.537 	8.260 	0.940 	0.502 	23.926 	62.187 	24.497 	0.272 
S5.5	9.685 	2.575 	8.170 	0.910 	0.521 	15.869 	65.276 	33.233 	0.281 
S5.6	10.374 	3.111 	8.060 	0.910 	0.507 	20.704 	63.695 	29.164 	0.263 
S5.7	9.854 	3.031 	8.030 	0.940 	0.481 	13.452 	63.187 	23.829 	0.256 
S5.8	10.322 	3.569 	8.040 	1.070 	0.503 	20.212 	76.218 	6.228 	0.275 
S6.1	7.293 	2.335 	8.270 	0.770 	0.449 	14.097 	60.572 	3.577 	0.288 
S6.2	6.734 	2.437 	8.290 	0.880 	0.485 	19.898 	80.804 	3.943 	0.257 
S6.3	5.109 	2.503 	8.260 	0.660 	0.465 	15.225 	64.570 	5.493 	0.284 
S6.4	9.516 	2.773 	8.150 	1.080 	0.471 	21.187 	70.105 	2.214 	0.299 
S6.5	9.087 	2.897 	8.190 	0.820 	0.455 	14.902 	61.308 	3.206 	0.307 
S6.6	7.319 	2.699 	8.220 	0.660 	0.473 	21.187 	55.264 	3.873 	0.212 
S6.7	5.200 	2.307 	8.320 	0.620 	0.416 	15.058 	52.139 	3.994 	0.211 
S6.8	4.732 	3.193 	8.240 	0.610 	0.483 	21.187 	61.234 	3.998 	0.101 
S7.1	8.801 	1.758 	8.230 	0.960 	0.476 	11.196 	58.242 	19.512 	0.183 
S7.2	8.177 	1.729 	8.220 	0.900 	0.490 	17.474 	59.921 	16.639 	0.196 
S7.3	5.824 	1.679 	8.250 	0.780 	0.606 	10.390 	50.137 	16.480 	0.189 
S7.4	8.034 	1.707 	8.320 	0.830 	0.479 	20.220 	55.548 	16.684 	0.194 
S7.5	8.307 	1.776 	8.210 	1.060 	0.476 	7.812 	63.660 	16.969 	0.184 
S7.6	9.360 	1.722 	8.330 	0.990 	0.476 	16.353 	55.080 	15.151 	0.340 
S7.7	9.880 	1.730 	8.340 	1.030 	4.014 	10.229 	56.699 	13.233 	0.270 
S7.8	8.320 	1.717 	8.400 	0.840 	0.481 	19.737 	58.484 	14.491 	0.274 
S8.1	2.613 	1.664 	8.410 	0.710 	0.419 	16.836 	61.750 	3.302 	0.284 
S8.2	5.772 	1.737 	8.450 	0.880 	0.483 	19.253 	70.717 	3.450 	0.248 
S8.3	3.809 	2.351 	8.260 	0.600 	0.464 	11.836 	60.251 	2.118 	0.274 
S8.4	4.433 	1.895 	9.260 	0.670 	0.490 	18.923 	54.196 	0.567 	0.280 
S8.5	3.588 	1.697 	8.660 	0.630 	0.455 	12.646 	60.636 	1.695 	0.291 
S8.6	6.019 	2.159 	8.480 	0.810 	0.495 	20.542 	59.321 	1.211 	0.280 
S8.7	8.502 	2.231 	8.480 	1.020 	0.524 	15.869 	61.428 	3.262 	0.293 
S8.8	5.044 	1.937 	8.390 	0.790 	0.480 	20.059 	63.448 	20.467 	0.300 
S9.1	8.177 	1.698 	8.440 	0.900 	0.705 	23.121 	47.620 	26.248 	0.280 
S9.2	5.304 	1.661 	8.550 	0.710 	0.489 	12.153 	54.870 	25.583 	0.273 
S9.3	8.502 	1.715 	8.320 	0.850 	0.684 	21.984 	49.288 	24.105 	0.276 
S9.4	4.732 	1.678 	8.560 	0.690 	0.554 	15.702 	49.112 	24.844 	0.287 
S9.5	6.149 	1.687 	8.660 	0.810 	0.564 	19.898 	45.550 	21.379 	0.269 
