	group	Latitude	longitude
1.1	S1	37.439513	118.919299
1.2	S1	37.439241	118.919658
1.3	S1	37.43924	118.91966
1.4	S1	37.438672	118.9208
1.5	S1	37.437593	118.922087
1.6	S1	37.437647	118.922702
2.1	S2	37.654046	118.820217
2.2	S2	37.653997	118.820126
2.3	S2	37.654017	118.819865
2.4	S2	37.654021	118.819792
2.5	S2	37.653852	118.81973
3.1	S3	37.6429	118.616955
3.2	S3	37.642928	118.616971
3.3	S3	37.642882	118.616902
3.4	S3	37.642857	118.616858
3.5	S3	37.642821	118.616807
3.6	S3	37.642789	118.616914
3.7	S3	37.642863	118.617047
3.8	S3	37.642916	118.617129
4.1	S4	37.724465	118.739074
4.2	S4	37.724401	118.738778
4.3	S4	37.72427	118.738658
4.4	S4	37.724205	118.738291
4.5	S4	37.724067	118.738007
4.6	S4	37.724009	118.737823
4.7	S4	37.723864	118.73741
4.8	S4	37.72361	118.73696
5.1	S5	37.779039	118.718216
5.2	S5	37.778982	118.71813
5.3	S5	37.778843	118.717903
5.4	S5	37.778761	118.717676
5.5	S5	37.778631	118.717469
5.6	S5	37.778435	118.71703
5.7	S5	37.778296	118.716901
5.8	S5	37.778227	118.716824
6.1	S6	37.808939	118.787212
6.2	S6	37.808984	118.787329
6.3	S6	37.809108	118.787408
6.4	S6	37.80927	118.787595
6.5	S6	37.809391	118.787938
6.6	S6	37.809718	118.788178
6.7	S6	37.80978	118.788403
6.8	S6	37.809988	118.788728
7.1	S7	37.898035	118.808071
7.2	S7	37.897853	118.808266
7.3	S7	37.897595	118.80834
7.4	S7	37.897349	118.808479
7.5	S7	37.897183	118.808699
7.6	S7	37.896972	118.808589
7.7	S7	37.896732	118.808883
7.8	S7	37.896641	118.809047
8.1	S8	38.082106	118.815164
8.2	S8	38.082282	118.815049
8.3	S8	38.082433	118.814805
8.4	S8	38.082381	118.814449
8.5	S8	38.082558	118.814208
8.6	S8	38.082824	118.81384
8.7	S8	38.083115	118.813473
8.8	S8	38.083381	118.813472
9.1	S9	38.074148	118.80678
9.2	S9	38.074392	118.806669
9.3	S9	38.074591	118.80653
9.4	S9	38.074876	118.80655
9.5	S9	38.07553	118.806444
9.6	S9	38.075769	118.806321
9.7	S9	38.076006	118.806196
9.8	S9	38.07405	118.806179
			
